"","playerId","career_efficiency","career_shooting"
"53",8459461,2.22739252182507,0.1239
"64",8459670,1.38553745858081,0.0601
"72",8460527,0.867774963348758,0.0742
"77",8460562,2.30460796682364,0.1185
"78",8460567,1.48443596635741,0.1006
"79",8460577,2.54814033236613,0.1406
"81",8460626,0.442721260011538,0.0432
"84",8460720,1.07639204287401,0.0685
"92",8462060,1.58503597122302,0.1092
"93",8462077,1.92956642637769,0.0859
"94",8462118,2.83223235537964,0.1071
"95",8462129,1.70791911449089,0.1307
"96",8462196,0.813165435566182,0.0444
"97",8462209,1.32281770926689,0.0757
"98",8462535,0.840238067452445,0.046
"99",8462823,1.74273631522702,0.0931
"100",8464957,2.4629149988227,0.1374
"101",8464960,1.48090950457096,0.0899
"102",8464967,1.4218009478673,0.0891
"103",8464975,2.65477161716871,0.1412
"105",8464979,1.93888294154597,0.1166
"106",8464983,0.869280589822978,0.0873
"107",8464989,1.83886006886991,0.0958
"108",8464994,1.09115401885945,0.0776
"109",8465005,0.493382784935464,0.03
"110",8465009,1.03124052168638,0.0611
"111",8465024,1.56904552865922,0.0904
"112",8465025,1.56608816775214,0.1094
"113",8465026,2.08609717750992,0.1732
"114",8465041,0.87930493038836,0.0408
"115",8465050,1.60870759168185,0.1022
"116",8465056,0.85419734904271,0.0666
"117",8465059,1.23587350959046,0.0787
"118",8465113,1.32380624658422,0.0862
"119",8465166,0.926113506786675,0.0599
"120",8465170,1.53661973965358,0.1246
"121",8465175,0.96571992333853,0.0846
"122",8465185,0.549571707234331,0.0385
"123",8465192,0.920763447079237,0.0664
"124",8465951,1.60773436027253,0.1185
"125",8465968,1.76756732182636,0.089
"126",8465978,0.971737059383931,0.0423
"127",8466035,2.34535447301405,0.1324
"128",8466138,2.8732788798133,0.1401
"129",8466139,2.26803342365045,0.1306
"130",8466140,2.01039298715359,0.096
"131",8466144,0.988742577374426,0.0625
"132",8466148,2.78456837280367,0.1241
"133",8466149,1.71511298669963,0.0964
"134",8466158,0.582133595636234,0.0367
"135",8466160,2.0722214213637,0.1586
"136",8466181,2.4068380528271,0.1239
"137",8466202,2.40565175906941,0.1014
"138",8466216,1.21110176619008,0.0656
"139",8466251,1.65797726773337,0.0925
"140",8466260,1.92685102586976,0.1134
"141",8466292,1.30495711803285,0.0916
"142",8466300,1.22287224004529,0.0805
"143",8466371,1.41204475983517,0.0916
"144",8466378,2.68360481126439,0.1355
"145",8466392,2.0879318271078,0.1298
"146",8466393,1.76274319427168,0.099
"147",8466398,1.19938884644767,0.0778
"148",8466399,1.56895612454427,0.0833
"149",8467096,1.44292591986527,0.073
"150",8467329,2.54635219619523,0.1213
"151",8467330,1.94290744466801,0.1077
"152",8467334,1.36863959543941,0.0986
"153",8467336,1.11927642736009,0.0918
"154",8467338,2.68123446561723,0.1855
"155",8467346,2.46915270949453,0.1258
"156",8467348,0.782811183960628,0.0655
"157",8467351,2.44412354247042,0.0719
"158",8467353,2.23853053976133,0.1406
"159",8467355,0.474326155699443,0.0459
"160",8467357,2.32408989020898,0.1283
"161",8467361,0.816476068353701,0.0763
"162",8467370,1.83618754676199,0.1191
"163",8467371,2.52911565999926,0.1442
"164",8467389,2.49351575912067,0.0863
"165",8467393,1.18079680685934,0.0914
"166",8467396,2.06054242014753,0.1292
"167",8467407,1.96954650777888,0.105
"168",8467412,1.98961049627333,0.1047
"169",8467423,1.80693069306931,0.1221
"170",8467428,0.863469089862462,0.0779
"171",8467463,2.00221825722139,0.083
"172",8467466,1.788134665735,0.0834
"173",8467478,0.776019476567255,0.0695
"174",8467483,2.0793206609505,0.0785
"175",8467493,1.33312003412787,0.0896
"176",8467502,2.11000767725798,0.099
"177",8467514,3.06341514058265,0.1399
"178",8467531,0.762573382557647,0.0833
"179",8467543,1.08542713567839,0.0621
"180",8467545,2.3220049414568,0.1233
"181",8467580,0.423353624792474,0.0479
"182",8467831,1.49708342995772,0.1217
"183",8467844,2.06023138744149,0.0804
"184",8467857,1.42284864481035,0.0849
"185",8467875,2.81326006666066,0.1131
"186",8467876,2.75832438238453,0.1293
"187",8467878,2.10208867627753,0.0956
"188",8467881,1.42237273785586,0.1077
"189",8467882,1.60017959366932,0.0982
"190",8467899,2.68535262206148,0.1268
"191",8467905,1.04430563344872,0.0593
"192",8467909,0.608684513897784,0.044
"193",8467915,0.736850235575809,0.0407
"194",8467925,1.03841161482621,0.0705
"195",8467937,1.00961942956502,0.082
"196",8467943,1.6138448707256,0.0984
"197",8467964,2.30942011410012,0.1338
"198",8467967,1.42337923491328,0.1064
"199",8467988,1.99103734241358,0.1373
"200",8468001,1.09597848959551,0.0817
"201",8468064,2.23371590367015,0.1197
"202",8468083,2.71837023636292,0.0975
"203",8468085,2.1784951792975,0.0915
"204",8468086,1.32743362831858,0.0759
"205",8468095,0.768027307637605,0.0841
"206",8468162,0.767559932305478,0.089
"207",8468172,1.71546864218105,0.12
"208",8468208,1.60536529981781,0.1186
"209",8468224,1.97310611103715,0.0771
"210",8468252,0.77064874829042,0.0722
"211",8468432,2.19492925375278,0.1427
"212",8468434,2.43594976995191,0.1092
"213",8468482,2.72618133567185,0.145
"214",8468483,2.66677573724897,0.1269
"215",8468484,0.722619609704615,0.052
"216",8468485,1.91430616627467,0.1318
"217",8468486,2.17248425606157,0.1177
"218",8468499,1.3787569302597,0.0865
"219",8468500,2.28766800962319,0.1373
"220",8468504,2.25221876997636,0.1174
"221",8468505,1.39730458221024,0.0977
"222",8468506,1.10226576852419,0.0944
"223",8468508,2.24080622789808,0.0967
"224",8468509,1.25337885213321,0.0652
"225",8468510,1.45800316957211,0.1009
"226",8468513,0.515153695696259,0.0368
"227",8468515,1.13918749127461,0.0852
"228",8468517,1.55951914826262,0.0672
"229",8468518,1.38762743178163,0.0728
"230",8468523,1.32485997414907,0.1026
"231",8468526,1.63452536978094,0.0894
"232",8468534,0.518731988472622,0.0321
"233",8468535,1.75491736554153,0.1241
"234",8468548,1.05995062623151,0.0603
"235",8468560,1.13625603636019,0.0655
"236",8468568,0.309268688888195,0.0243
"237",8468575,1.37685228132705,0.0777
"238",8468577,0.465519781317009,0.0358
"239",8468604,2.7034375606914,0.1405
"240",8468611,0.994181561931607,0.075
"241",8468635,0.826509062732646,0.0749
"242",8468647,0.973442781265089,0.0404
"243",8468660,0.81290962163353,0.0813
"244",8468695,1.84069193780054,0.0951
"245",8468700,1.33787012234851,0.0929
"246",8468704,1.70119391761537,0.0956
"247",8468778,0.497615591955215,0.0693
"248",8468789,2.18231343383227,0.1173
"249",8468868,0.28548770816812,0
"250",8468881,1.4030612244898,0.1
"251",8468884,0,0
"252",8468887,0.531914893617021,0.0465
"253",8468927,0.914639467973073,0.0428
"254",8469454,2.66063714902808,0.1374
"255",8469455,2.90505294300841,0.1266
"256",8469457,1.99265121537592,0.1181
"257",8469459,2.15421905771853,0.0906
"258",8469462,1.80478581208841,0.1158
"259",8469464,1.04027740730862,0.0721
"260",8469466,2.54641909814324,0.1054
"261",8469467,1.6044687425719,0.121
"262",8469469,1.81518364070889,0.1061
"263",8469473,1.26383722493614,0.0753
"264",8469474,1.71812203142126,0.1267
"265",8469475,1.10767225932562,0.0829
"266",8469483,0.894620949984272,0.072
"267",8469485,2.34504363392258,0.1193
"268",8469490,1.02569947005527,0.0543
"269",8469492,0.849499810507197,0.0466
"270",8469500,2.41114685962518,0.119
"271",8469501,1.08317840109935,0.0767
"272",8469506,2.36726424139366,0.1056
"273",8469508,1.12344892681467,0.0863
"274",8469521,2.02276909029916,0.0987
"275",8469528,0.591133004926108,0.093
"276",8469542,0.975614744668122,0.0727
"277",8469543,1.55514414176144,0.0859
"278",8469544,2.32582857643035,0.106
"279",8469547,1.30139569973595,0.0617
"280",8469581,2.07690438138446,0.1424
"281",8469582,1.13702623906706,0.1025
"282",8469584,1.31224764468371,0.08
"283",8469587,1.04893194689782,0.0569
"284",8469591,1.02261553588987,0.0521
"285",8469622,2.29077901725498,0.1098
"286",8469629,1.2396694214876,0.1111
"287",8469638,2.25288613521318,0.1195
"288",8469639,1.66688981121971,0.0912
"289",8469664,1.56553478111097,0.0783
"290",8469670,2.34680573663625,0.1308
"291",8469672,1.55429531611006,0.1216
"292",8469681,0.471327572663001,0.0301
"293",8469685,1.03098688355576,0.0827
"294",8469733,1.05304212168487,0.1176
"295",8469752,0,0
"296",8469759,1.34090075536268,0.0898
"297",8469779,1.78118846872318,0.103
"298",8469812,1.51315605122313,0.0831
"299",8469820,0.616874957161461,0.06
"300",8470004,0.761509172724126,0.016
"301",8470018,0.940238364283735,0.0432
"302",8470039,1.95486308664128,0.1053
"303",8470041,2.48542024013722,0.1205
"304",8470047,1.78715942810898,0.1372
"305",8470054,0.89917789449646,0.0589
"306",8470061,0.612391930835735,0.0258
"307",8470063,0.825763831544178,0.0652
"308",8470064,0.420168067226891,0.0465
"309",8470065,1.43540669856459,0.1063
"310",8470072,1.9012204562061,0.1392
"311",8470086,0.338791643139469,0
"312",8470105,1.7314081916742,0.0964
"313",8470110,0.859703817969077,0.062
"314",8470113,0.427350427350427,0.0294
"315",8470120,2.69621903520209,0.1277
"316",8470121,0.46596286858391,0.0357
"317",8470123,0.522648083623693,0.0571
"318",8470131,0.894854586129754,0.125
"319",8470144,1.86322354743407,0.0992
"320",8470152,1.44943820224719,0.0959
"321",8470153,2.33392458451553,0.1123
"322",8470156,1.41181693736357,0.1086
"323",8470159,0.983189428508422,0.068
"324",8470162,1.68832909017821,0.1267
"325",8470169,1.1163197927877,0.0768
"326",8470171,1.21582962492053,0.1025
"327",8470176,1.53553046890551,0.0813
"328",8470180,0.969755371104444,0.1141
"329",8470189,1.96119515568034,0.035
"330",8470192,0.689639158500906,0.0627
"331",8470199,0.769230769230769,0.0625
"332",8470201,2.47022836145366,0.1497
"333",8470207,2.21449557247347,0.1143
"334",8470223,1.00470957613815,0.0882
"335",8470230,1.46343538620797,0.1177
"336",8470257,2.03667321545514,0.1007
"337",8470274,1.68103285081465,0.0968
"338",8470289,1.28308436124713,0.0879
"339",8470299,1.9489448197525,0.0988
"340",8470301,0.580645161290323,0
"341",8470302,0.982671174978867,0.068
"342",8470324,0.479088186998938,0.033
"343",8470358,1.7359584143404,0.118
"344",8470366,1.01297879075657,0.0967
"345",8470373,2.46592890438743,0.1019
"346",8470383,1.21896162528217,0.0434
"347",8470543,2.26185739458064,0.1253
"348",8470564,1.43760399334443,0.125
"349",8470595,2.44421663776502,0.1125
"350",8470596,2.33322864901812,0.1447
"351",8470597,2.22293722970351,0.1042
"352",8470598,2.82244361372945,0.1429
"353",8470599,2.04315360300518,0.12
"354",8470603,2.19218362555134,0.1246
"355",8470604,2.21504504055059,0.1114
"356",8470606,1.84839044652129,0.0967
"357",8470608,1.99729180771835,0.1024
"358",8470609,1.63708188177422,0.1058
"359",8470610,2.38742105710743,0.1149
"360",8470611,1.65344904982792,0.1018
"361",8470612,2.71224435928735,0.1101
"362",8470613,1.66400402937033,0.0657
"363",8470615,1.50953389830508,0.0736
"364",8470616,1.82366306260112,0.1133
"365",8470617,2.16133052749927,0.1072
